ticker,business_word_count,business_sentence_count_full,business_avg_sentence_length,business_fk_grade,business_quant_density,risk_factors_word_count,risk_factors_sentence_count_full,risk_factors_avg_sentence_length,risk_factors_fk_grade,risk_factors_quant_density,mda_word_count,mda_sentence_count_full,mda_avg_sentence_length,mda_fk_grade,mda_quant_density,business_is_long,risk_factors_is_long,mda_is_long,mda_is_quantitative,total_word_count,mean_fk_grade
DOV,6512,170,277.5176470588235,20.623966130110464,9.520884520884522,4421,98,311.55102040816325,20.92513298132725,2.7143180275955667,26240,701,260.66619115549213,20.168838283172175,59.87042682926829,0,0,1,0,37173,20.572645798203297
DOW,5916,133,333.2706766917293,19.628385038868498,25.693035835023665,5585,135,293.22962962962964,18.227627317907793,27.573858549686662,29453,758,270.3390501319261,17.112291629691615,66.17322513835602,0,0,1,0,40954,18.3227679954893
DRE,3177,77,283.97402597402595,18.988523085747065,26.754800125904943,70296,1122,444.6336898395722,15.49615146658667,124.487879822465,10602,194,382.819587628866,15.519022108263666,98.09469911337483,0,1,1,1,84075,16.6678988868658
DRI,9124,277,225.35379061371842,15.330408905020452,37.15475668566418,8823,217,271.98617511520735,18.971800134545195,3.2868638784993767,6145,143,288.97202797202794,12.330482011405845,99.26769731489016,1,0,0,1,24092,15.54423035032383
DUK,11131,363,216.36914600550963,16.884899548532733,42.13457910340491,8628,184,323.875,20.726407457435446,1.6226240148354196,20434,475,294.98315789473685,18.069916540091814,60.38954683370853,1,0,1,0,40193,18.560407848686665
DVA,1253,39,213.12820512820514,15.874107206247782,30.327214684756584,41891,813,348.5768757687577,18.177164256786856,10.766035663985106,12821,241,371.7136929460581,18.869281132324435,66.84345994852195,0,1,1,0,55965,17.640184198453024
DXC,3174,114,195.87719298245614,16.57519445270192,25.519848771266542,15479,349,295.3868194842407,19.945061220720152,7.429420505200594,10536,213,336.40845070422534,14.261602246359512,95.3872437357631,0,1,1,1,29189,16.927285973260528
ECL,10611,290,259.2551724137931,18.350054725149068,23.183488832343794,6116,122,336.27868852459017,19.084598939445723,9.973839110529758,13954,338,291.18639053254435,12.728844559431675,104.12784864554966,1,0,1,1,30681,16.72116607467549
ETN,1866,56,231.57142857142858,15.137747697866882,48.23151125401929,1940,50,270.42,17.84253608247423,7.731958762886598,35,2,124.5,16.18357142857143,57.14285714285714,0,0,0,0,3841,16.387951736304178
GLW,7097,367,134.37874659400546,15.30801414690001,38.748767084683664,4789,121,270.1404958677686,21.943930705783576,4.802672791814575,13678,337,259.08902077151333,14.92608247546693,98.25997952917092,1,0,1,1,25564,17.392675776050172
GM,226,12,131.5,16.022727272727277,17.699115044247787,16868,457,249.9387308533917,14.979148831555516,27.4484230495613,29167,735,272.24897959183676,14.99051265117576,53.965097541742374,0,1,1,0,46261,15.330796251819516
GOOGL,3996,107,246.6728971962617,14.855700232783011,13.013013013013014,11504,264,293.75757575757575,18.25528552201897,3.2162726008344924,7838,163,329.4049079754601,14.595525325752195,57.66777239091605,0,0,0,0,23338,15.902170360184726
GS,21026,767,183.44328552803128,16.832444384756517,18.64358413392942,20101,533,249.68855534709192,18.989346766204587,6.666335008208547,41607,1373,201.07720320466132,15.611813322629036,79.09726728675463,1,1,1,1,82734,17.144534824530044
HD,6109,208,202.01442307692307,16.39360314001824,19.80684236372565,9743,210,322.74285714285713,22.004716084382554,2.565944780868316,4244,127,224.11023622047244,11.914589437197549,90.48067860508954,0,0,0,1,20096,16.770969553866113
HSY,4012,121,228.6694214876033,16.813060773019448,21.435692921236292,4570,101,315.7524752475247,21.27156086574799,10.065645514223196,11770,322,250.1614906832298,12.854422895884749,81.81818181818181,0,0,1,1,20352,16.979681511550726
JNJ,4610,140,232.8357142857143,16.822324046855616,15.618221258134492,5902,147,278.4829931972789,18.711275105269568,5.930193154862758,9609,270,246.38888888888889,11.607889240138633,94.80695181600584,0,0,0,1,20121,15.713829464087938
JPM,5525,194,198.1237113402062,14.824037271897243,19.547511312217193,17739,240,527.625,23.368980490701095,1.1838322340605445,55,3,136.66666666666666,14.230681818181822,90.9090909090909,0,1,0,1,23319,17.47456652692672
KMX,6105,218,184.61009174311926,15.08162688862187,27.190827190827193,5612,152,244.5,17.278783772529597,4.0983606557377055,23730,772,204.66968911917098,15.787294201622455,51.15887062789717,0,0,1,0,35447,16.049234954257972
KO,7032,185,261.68108108108106,17.929577443429732,12.372013651877133,19788,535,251.21869158878505,17.889268848271936,6.8728522336769755,41836,1155,243.18268398268398,17.944250530680907,29.830767759824077,1,1,1,0,68656,17.921032274127526
LDOS,7541,244,220.15983606557376,16.53672525133442,15.249966847898156,12426,275,307.58181818181816,17.930096432015436,4.023821020441011,7090,177,274.6949152542373,16.249987748664214,64.88011283497885,1,0,0,0,27057,16.90560314400469
LEG,6232,219,201.82191780821918,17.08371655603965,24.229781771501926,6167,192,212.421875,16.59888182220381,16.86395329982163,12984,382,228.1937172774869,13.818084291187738,71.62661737523106,0,0,1,1,25383,15.8335608898104
LIN,1334,55,167.3090909090909,15.690996386533577,11.994002998500749,4048,100,280.45,17.387892695066615,2.4703557312252964,6028,158,270.3544303797468,15.289068493214351,106.33709356337094,0,0,0,1,11410,16.122652524938182
LKQ,7991,224,245.4375,17.421899186444012,17.519709673382557,14843,339,284.5457227138643,17.679908268695453,7.61301623660985,11495,251,305.2231075697211,15.262638124560599,83.94954327968682,1,1,1,1,34329,16.788148526566687
LNT,7460,178,285.07865168539325,17.365677091259055,74.66487935656836,5677,140,272.98571428571427,20.755486480032506,2.466091245376079,12172,251,334.39442231075697,19.190429441127247,78.78738087413737,1,0,1,1,25309,19.103864337472938
LRCX,7091,264,186.38636363636363,16.29097838818383,18.756169792694966,10084,199,346.18090452261305,22.9688450687669,6.346687822292741,7456,169,296.5443786982249,16.147830458316474,85.30042918454936,1,0,0,1,24631,18.469217971755736
LUMN,7828,211,262.45497630331755,17.874393972694964,21.461420541645378,9708,218,299.2844036697248,18.03586389194233,6.69550885867326,12582,273,306.64835164835165,18.689715007816158,68.98744237800032,1,0,1,0,30118,18.199990957484484
LYV,5408,164,217.78048780487805,15.961916915717676,30.325443786982248,12545,299,276.82274247491637,20.107098329548638,6.297329613391789,10698,252,290.76984126984127,14.27410777541711,73.93905402879044,0,1,1,1,28651,16.781041006894473
MAR,3994,109,268.72477064220186,16.657804132973947,31.547320981472208,8306,177,311.91525423728814,20.930642537773668,6.38092944859138,6158,131,316.0458015267176,14.984166829279005,106.04092237739526,0,0,0,1,18458,17.524204500008874
MAS,1736,52,230.09615384615384,14.770361203872003,6.912442396313365,4686,112,284.32142857142856,18.97338669699356,2.774221084080239,5859,125,322.56,15.26791436737393,81.75456562553336,0,0,0,1,12281,16.33722075607983
MCHP,4792,172,196.65116279069767,17.099755813117557,26.71118530884808,18718,572,221.80594405594405,18.088553752150137,14.584891548242334,30380,893,228.79843225083985,18.12025954037475,27.48518762343647,0,1,1,0,53890,17.76952303521415
MCK,6813,196,254.33673469387756,18.35625352824704,17.31982973726699,7936,233,236.18884120171674,17.250950921511095,5.040322580645161,19753,507,264.5818540433925,17.233762650604877,69.10342732749456,1,0,1,0,34502,17.613655700121004
MCO,6561,183,260.4590163934426,18.417934387110254,27.892089620484683,9583,214,307.6682242990654,19.034080507306317,8.661170823332986,12082,237,365.90717299578057,17.334826203208554,68.20062903492799,0,0,1,0,28226,18.262280365875043
MDLZ,6921,225,209.13333333333333,15.645142955500798,37.85580118479989,10898,241,309.98340248962654,20.335212787389505,8.717195815746008,21161,496,292.2842741935484,14.505158730158733,91.06374935021974,1,0,1,1,38980,16.82850482434968
MDT,3827,94,301.1276595744681,19.15600631412786,11.758557616932322,14221,371,262.544474393531,17.99328100837919,6.539624498980381,38,3,78.0,13.630405405405408,105.26315789473684,0,1,0,1,18086,16.926564242637486
